Share Name,NSE ID,% Allocation
Brigade Enterprises Limited,BRIGADE,< 1%
Intellect Design Arena Limited,INTELLECT,< 1%
Sundaram Finance Holdings Limited,SUNDARMHLD,< 1%
FSN E-Commerce Ventures Limited,NYKAA,< 1%
AstraZeneca Pharma India Limited,ASTRAZEN,< 1%
Fineotex Chemical Limited,FCL,< 1%
INEOS Styrolution India Limited,INEOSSTYRO,< 1%
Pokarna Limited,POKARNA,< 1%
Triveni Engineering & Industries Limited,TRIVENI,< 1%
Sandhar Technologies Limited,SANDHAR,< 1%
Orient Cement Limited,ORIENTCEM,< 1%
PNC Infratech Limited,PNCINFRA,< 1%
Asahi India Glass Limited,ASAHIINDIA,< 1%
LG Balakrishnan & Bros Limited,LGBBROSLTD,< 1%
Tata Coffee Limited,TATACOFFEE,< 1%
Shilpa Medicare Limited,SHILPAMED,< 1%
Karur Vysya Bank Limited,KARURVYSYA,< 1%
Ashoka Buildcon Limited,ASHOKA,< 1%
Jtekt India Limited,JTEKTINDIA,< 1%
Praj Industries Limited,PRAJIND,< 1%
Oracle Financial Services Software Limited,OFSS,< 1%
KEC International Limited,KEC,< 1%
SBI Cards and Payment Services Limited,SBICARD,< 1%
Apex Frozen Foods Limited,APEX,< 1%
SBI Life Insurance Company Limited,SBILIFE,< 1%
Navkar Corporation Limited,NAVKARCORP,< 1%
Ajanta Pharma Limited,AJANTPHARM,< 1%
Granules India Limited,GRANULES,< 1%
PTC India Limited,PTC,< 1%
Paras Defence and Space Technologies Limited,PARAS,< 1%
Subros Limited,SUBROS,< 1%
Vesuvius India Limited,VESUVIUS,< 1%
Thermax Limited,THERMAX,< 1%
Valiant Organics Limited,VALIANTORG,< 1%
Orient Paper & Industries Limited,ORIENTPPR,< 1%
Nuvoco Vistas Corporation Limited,NUVOCO,< 1%
Srikalahasthi Pipes Limited,SRIPIPES,< 1%
Capacit'e Infraprojects Limited,CAPACITE,< 1%
The Indian Hotels Company Limited,INDHOTEL,< 1%
KEI Industries Limited,KEI,< 1%
Texmaco Rail & Engineering Limited,TEXRAIL,< 1%
Aster DM Healthcare Limited,ASTERDM,< 1%
Cash Margin - Derivatives,,< 1%
Rolex Rings Limited,ROLEXRINGS,< 1%
JK Lakshmi Cement Limited,JKLAKSHMI,< 1%
Equitas Small Finance Bank Limited,EQUITASBNK,< 1%
Avanti Feeds Limited,AVANTIFEED,< 1%
Krsnaa Diagnostics Limited,KRSNAA,< 1%
Seya Industries Limited,SEYAIND,< 1%
Bharti Airtel Limited - Partly paid up share,AIRTELPP,< 1%
Greenpanel Industries Limited,GREENPANEL,< 1%
The Indian Hotels Company Limited - Rights Form,INDHOTEL,< 1%
