SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
TEXRAIL,Texmaco Rail & Engineering Limited,EQ,3-Mar-11,1,1,INE621L01012,1
TFCILTD,Tourism Finance Corporation of India Limited,EQ,26-Jul-00,10,1,INE305A01015,10
TFL,Transwarranty Finance Limited,BE,26-Feb-07,10,1,INE804H01012,10
TGBHOTELS,TGB Banquets And Hotels Limited,EQ,17-May-07,10,1,INE797H01018,10
THANGAMAYL,Thangamayil Jewellery Limited,EQ,19-Feb-10,10,1,INE085J01014,10
THEINVEST,The Investment Trust Of India Limited,EQ,2-Aug-17,10,1,INE924D01017,10
THEMISMED,Themis Medicare Limited,BE,2-Apr-07,10,1,INE083B01016,10
THERMAX,Thermax Limited,EQ,30-Aug-95,2,1,INE152A01029,2
THOMASCOOK,Thomas Cook  (India)  Limited,EQ,7-Jun-00,1,1,INE332A01027,1
THOMASCOTT,Thomas Scott (India) Limited,BE,30-Jan-12,10,1,INE480M01011,10
THYROCARE,Thyrocare Technologies Limited,EQ,9-May-16,10,1,INE594H01019,10
TI,Tilaknagar Industries Limited,BE,16-Jul-10,10,1,INE133E01013,10
TIDEWATER,Tide Water Oil Company (India) Limited,EQ,16-Jan-07,2,1,INE484C01030,2
TIIL,Technocraft Industries (India) Limited,EQ,12-Feb-07,10,1,INE545H01011,10
TIINDIA,Tube Investments of India Limited,EQ,2-Nov-17,1,1,INE974X01010,1
TIJARIA,Tijaria Polypipes Limited,EQ,14-Oct-11,10,1,INE440L01017,10
TIL,TIL Limited,EQ,27-Sep-95,10,1,INE806C01018,10
TIMESGTY,Times Guaranty Limited,EQ,11-Jun-02,10,1,INE289C01025,10
TIMETECHNO,Time Technoplast Limited,EQ,13-Jun-07,1,1,INE508G01029,1
TIMKEN,Timken India Limited,EQ,6-Feb-07,10,1,INE325A01013,10
TINPLATE,The Tinplate Company of India Limited,EQ,27-Jan-06,10,1,INE422C01014,10
TIPSINDLTD,TIPS Industries Limited,BE,10-Nov-00,10,1,INE716B01011,10
TIRUMALCHM,Thirumalai Chemicals Limited,EQ,14-May-03,1,1,INE338A01024,1
TIRUPATIFL,Tirupati Forge Limited,BE,4-Aug-20,2,1,INE319Y01024,2
TITAN,Titan Company Limited,EQ,24-Sep-04,1,1,INE280A01028,1
TMRVL,The Mandhana Retail Ventures Limited,EQ,14-Dec-16,10,1,INE759V01019,10
TNPETRO,Tamilnadu PetroProducts Limited,EQ,27-Oct-99,10,1,INE148A01019,10
TNPL,Tamil Nadu Newsprint & Papers Limited,EQ,14-Feb-96,10,1,INE107A01015,10
TNTELE,Tamilnadu Telecommunication Limited,BE,4-Feb-03,10,1,INE141D01018,10
TOKYOPLAST,Tokyo Plast International Limited,EQ,11-Oct-95,10,1,INE932C01012,10
TORNTPHARM,Torrent Pharmaceuticals Limited,EQ,25-Nov-02,5,1,INE685A01028,5
TORNTPOWER,Torrent Power Limited,EQ,28-Nov-06,10,1,INE813H01021,10
TOTAL,Total Transport Systems Limited,EQ,28-Aug-20,10,1,INE336X01012,10
TOUCHWOOD,Touchwood Entertainment Limited,EQ,21-Jan-20,10,1,INE486Y01013,10
TPLPLASTEH,TPL Plastech Limited,EQ,20-May-15,10,1,INE413G01014,10
TREEHOUSE,Tree House Education & Accessories Limited,EQ,26-Aug-11,10,1,INE040M01013,10
TREJHARA,TREJHARA SOLUTIONS LIMITED,EQ,28-Dec-18,10,1,INE00CA01015,10
TRENT,Trent Limited,EQ,7-Jun-04,1,1,INE849A01020,1
TRF,TRF Limited,EQ,26-Mar-10,10,1,INE391D01019,10
TRIDENT,Trident Limited,EQ,21-Feb-01,1,1,INE064C01022,1
TRIGYN,Trigyn Technologies Limited,EQ,9-Apr-98,10,1,INE948A01012,10
TRIL,Transformers And Rectifiers (India) Limited,EQ,28-Dec-07,1,1,INE763I01026,1
TRITURBINE,Triveni Turbine Limited,EQ,28-Oct-11,1,1,INE152M01016,1
TRIVENI,Triveni Engineering & Industries Limited,EQ,13-Dec-05,1,1,INE256C01024,1
TTKHLTCARE,TTK Healthcare Limited,EQ,2-Dec-15,10,1,INE910C01018,10
TTKPRESTIG,TTK Prestige Limited,EQ,22-Dec-99,10,1,INE690A01010,10
TTL,T T Limited,EQ,22-Feb-07,10,1,INE592B01016,10
TTML,Tata Teleservices (Maharashtra) Limited,EQ,20-Oct-00,10,1,INE517B01013,10
TV18BRDCST,TV18 Broadcast Limited,EQ,8-Feb-07,2,1,INE886H01027,2
TVSELECT,TVS Electronics Limited,EQ,26-Dec-03,10,1,INE236G01019,10
TVSMOTOR,TVS Motor Company Limited,EQ,2-Aug-00,1,1,INE494B01023,1
TVSSRICHAK,TVS Srichakra Limited,EQ,13-Feb-07,10,1,INE421C01016,10
TVTODAY,TV Today Network Limited,EQ,16-Jan-04,5,1,INE038F01029,5
TVVISION,TV Vision Limited,BE,15-Sep-16,10,1,INE871L01013,10
TWL,Titagarh Wagons Limited,EQ,21-Apr-08,2,1,INE615H01020,2
UBL,United Breweries Limited,EQ,28-Jul-08,1,1,INE686F01025,1
UCALFUEL,Ucal Fuel Systems Limited,EQ,13-Sep-95,10,1,INE139B01016,10
UCOBANK,UCO Bank,EQ,9-Oct-03,10,1,INE691A01018,10
UFLEX,UFLEX Limited,EQ,23-Aug-95,10,1,INE516A01017,10
UFO,UFO Moviez India Limited,EQ,14-May-15,10,1,INE527H01019,10
UGARSUGAR,The Ugar Sugar Works Limited,EQ,23-Aug-10,1,1,INE071E01023,1
UGROCAP,Ugro Capital Limited,EQ,11-Aug-21,10,1,INE583D01011,10
UJAAS,Ujaas Energy Limited,EQ,20-Oct-11,1,1,INE899L01022,1
UJJIVAN,Ujjivan Financial Services Limited,EQ,10-May-16,10,1,INE334L01012,10
UJJIVANSFB,Ujjivan Small Finance Bank Limited,EQ,12-Dec-19,10,1,INE551W01018,10
ULTRACEMCO,UltraTech Cement Limited,EQ,24-Aug-04,10,1,INE481G01011,10
UMANGDAIRY,Umang Dairies Limited,EQ,2-Dec-15,5,1,INE864B01027,5
UMESLTD,Usha Martin Education & Solutions Limited,BE,12-Jul-10,1,1,INE240C01028,1
UNICHEMLAB,Unichem Laboratories Limited,EQ,7-Feb-01,2,1,INE351A01035,2
UNIDT,United Drilling Tools Limited,EQ,25-Sep-20,10,1,INE961D01019,10
UNIENTER,Uniphos Enterprises Limited,EQ,23-Jan-04,2,1,INE037A01022,2
UNIONBANK,Union Bank of India,EQ,24-Sep-02,10,1,INE692A01016,10
UNITECH,Unitech Limited,BZ,8-Sep-99,2,1,INE694A01020,2
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,EQ,28-Jan-15,10,1,INE458F01011,10
UNIVASTU,Univastu India Limited,EQ,22-Jun-20,10,1,INE562X01013,10
UNIVCABLES,Universal Cables Limited,EQ,17-May-95,10,1,INE279A01012,10
UNIVPHOTO,Universus Photo Imagings Limited,EQ,14-Feb-20,10,1,INE03V001013,10
UPL,UPL Limited,EQ,23-Jan-04,2,1,INE628A01036,2
URJA,Urja Global Limited,EQ,28-Mar-17,1,1,INE550C01020,1
USHAMART,Usha Martin Limited,EQ,11-Oct-00,1,1,INE228A01035,1
UTIAMC,UTI Asset Management Company Limited,EQ,12-Oct-20,10,1,INE094J01016,10
UTTAMSTL,Uttam Galva Steels Limited,EQ,25-May-95,10,1,INE699A01011,10
UTTAMSUGAR,Uttam Sugar Mills Limited,EQ,10-Apr-06,10,1,INE786F01031,10
V2RETAIL,V2 Retail Limited,BE,4-Jul-07,10,1,INE945H01013,10
VADILALIND,Vadilal Industries Limited,EQ,15-Jun-11,10,1,INE694D01016,10
VAIBHAVGBL,Vaibhav Global Limited,EQ,5-Apr-04,2,1,INE884A01027,2
VAISHALI,Vaishali Pharma Limited,EQ,15-Jan-20,10,1,INE972X01014,10
VAKRANGEE,Vakrangee Limited,EQ,3-Apr-06,1,1,INE051B01021,1
VALIANTORG,Valiant Organics Limited,EQ,23-Jul-21,10,1,INE565V01010,10
VARDHACRLC,Vardhman Acrylics Limited,EQ,30-Sep-03,10,1,INE116G01013,10
VARDMNPOLY,Vardhman Polytex Limited,BE,12-May-03,10,1,INE835A01011,10
VARROC,Varroc Engineering Limited,EQ,6-Jul-18,1,1,INE665L01035,1
VASCONEQ,Vascon Engineers Limited,EQ,15-Feb-10,10,1,INE893I01013,10
VASWANI,Vaswani Industries Limited,EQ,20-Sep-11,10,1,INE590L01019,10
VBL,Varun Beverages Limited,EQ,8-Nov-16,10,1,INE200M01013,10
VEDL,Vedanta Limited,EQ,13-May-98,1,1,INE205A01025,1
VENKEYS,Venky's (India) Limited,EQ,28-Jul-03,10,1,INE398A01010,10
VENUSREM,Venus Remedies Limited,EQ,20-Dec-06,10,1,INE411B01019,10
VERTOZ,Vertoz Advertising Limited,EQ,14-May-20,10,1,INE188Y01015,10
VESUVIUS,Vesuvius India Limited,EQ,4-Oct-02,10,1,INE386A01015,10
VETO,Veto Switchgears And Cables Limited,EQ,29-Apr-15,10,1,INE918N01018,10
VGUARD,V-Guard Industries Limited,EQ,13-Mar-08,1,1,INE951I01027,1
VHL,Vardhman Holdings Limited,EQ,30-Jun-05,10,1,INE701A01023,10
VICEROY,Viceroy Hotels Limited,BZ,21-Aug-07,10,1,INE048C01017,10
VIDHIING,Vidhi Specialty Food Ingredients Limited,EQ,2-Mar-16,1,1,INE632C01026,1
VIJAYA,Vijaya Diagnostic Centre Limited,EQ,14-Sep-21,1,1,INE043W01024,1
VIJIFIN,Viji Finance Limited,BE,11-Jul-16,1,1,INE159N01027,1
VIKASECO,Vikas EcoTech Limited,EQ,12-Dec-11,1,1,INE806A01020,1
VIKASLIFE,Vikas Lifecare Limited,EQ,8-May-19,1,1,INE161L01027,1
VIKASPROP,Vikas Proppant & Granite Limited,EQ,19-Aug-19,1,1,INE767B01022,1
VIKASWSP,Vikas WSP Limited,EQ,10-May-95,1,1,INE706A01022,1
VIMTALABS,Vimta Labs Limited,EQ,15-Dec-05,2,1,INE579C01029,2
VINATIORGA,Vinati Organics Limited,EQ,28-Jul-09,1,1,INE410B01037,1
VINDHYATEL,Vindhya Telelinks Limited,EQ,8-Feb-95,10,1,INE707A01012,10
VINEETLAB,Vineet Laboratories Limited,EQ,15-Jun-21,10,1,INE505Y01010,10
VINYLINDIA,Vinyl Chemicals (India) Limited,EQ,21-Jul-08,1,1,INE250B01029,1
VIPCLOTHNG,VIP Clothing Limited,EQ,6-Aug-07,2,1,INE450G01024,2
VIPIND,VIP Industries Limited,EQ,2-Mar-05,2,1,INE054A01027,2
VIPULLTD,Vipul Limited,EQ,23-Apr-15,1,1,INE946H01037,1
VISAKAIND,Visaka Industries Limited,EQ,28-Aug-96,10,1,INE392A01013,10
VISASTEEL,Visa Steel Limited,BE,17-Mar-06,10,1,INE286H01012,10
VISHAL,Vishal Fabrics Limited,EQ,19-Aug-19,5,1,INE755Q01025,5
VISHNU,Vishnu Chemicals Limited,BE,5-Mar-15,10,1,INE270I01014,10
VISHWARAJ,Vishwaraj Sugar Industries Limited,EQ,15-Oct-19,2,1,INE430N01022,2
VIVIDHA,Visagar Polytex Limited,EQ,21-May-13,1,1,INE370E01029,1
VIVIMEDLAB,Vivimed Labs Limited,EQ,17-Aug-05,2,1,INE526G01021,2
VLSFINANCE,VLS Finance Limited,EQ,25-May-95,10,1,INE709A01018,10
VMART,V-Mart Retail Limited,EQ,20-Feb-13,10,1,INE665J01013,10
VOLTAMP,Voltamp Transformers Limited,EQ,20-Sep-06,10,1,INE540H01012,10
VOLTAS,Voltas Limited,EQ,12-Apr-95,1,1,INE226A01021,1
VRLLOG,VRL Logistics Limited,EQ,30-Apr-15,10,1,INE366I01010,10
VSSL,Vardhman Special Steels Limited,EQ,17-May-12,10,1,INE050M01012,10
VSTIND,VST Industries Limited,EQ,5-Sep-03,10,1,INE710A01016,10
VSTTILLERS,V.S.T Tillers Tractors Limited,EQ,20-Jun-11,10,1,INE764D01017,10
VTL,Vardhman Textiles Limited,EQ,14-Jan-03,10,1,INE825A01012,10
WABAG,VA Tech Wabag Limited,EQ,13-Oct-10,2,1,INE956G01038,2
WABCOINDIA,WABCO India Limited,EQ,1-Oct-08,5,1,INE342J01019,5
WALCHANNAG,Walchandnagar Industries Limited,EQ,18-Sep-96,2,1,INE711A01022,2
WANBURY,Wanbury Limited,BE,29-Jan-07,10,1,INE107F01022,10
WATERBASE,Waterbase Limited,EQ,8-Feb-95,10,1,INE054C01015,10
WEALTH,Wealth First Portfolio Managers Limited,BE,20-Jan-21,10,1,INE658T01017,10
WEBELSOLAR,Websol Energy System Limited,EQ,15-May-07,10,1,INE855C01015,10
WEIZMANIND,Weizmann Limited,EQ,10-May-95,10,1,INE080A01014,10
WELCORP,Welspun Corp Limited,EQ,24-May-05,5,1,INE191B01025,5
WELENT,Welspun Enterprises Limited,EQ,4-Nov-04,10,1,INE625G01013,10
WELINV,Welspun Investments and Commercials Limited,EQ,20-Sep-10,10,1,INE389K01018,10
WELSPUNIND,Welspun India Limited,EQ,4-Dec-03,1,1,INE192B01031,1
WENDT,Wendt (India) Limited,EQ,7-Aug-06,10,1,INE274C01019,10
WESTLIFE,Westlife Development Ltd,EQ,19-Aug-19,2,1,INE274F01020,2
WHEELS,Wheels India Limited,EQ,7-Apr-00,10,1,INE715A01015,10
WHIRLPOOL,Whirlpool of India Limited,EQ,6-Apr-10,10,1,INE716A01013,10
WILLAMAGOR,Williamson Magor & Company Limited,BE,8-Feb-95,10,1,INE210A01017,10
WINDLAS,Windlas Biotech Limited,EQ,16-Aug-21,5,1,INE0H5O01029,5
WINDMACHIN,Windsor Machines Limited,EQ,17-Aug-11,2,1,INE052A01021,2
WIPL,The Western India Plywoods Limited,BE,17-Apr-17,10,1,INE215F01023,10
WIPRO,Wipro Limited,EQ,8-Nov-95,2,1,INE075A01022,2
WOCKPHARMA,Wockhardt Limited,EQ,23-Feb-00,5,1,INE049B01025,5
WONDERLA,Wonderla Holidays Limited,EQ,9-May-14,10,1,INE066O01014,10
WORTH,Worth Peripherals Limited,EQ,4-Aug-20,10,1,INE196Y01018,10
WSTCSTPAPR,West Coast Paper Mills Limited,EQ,17-Jan-01,2,1,INE976A01021,2
XCHANGING,Xchanging Solutions Limited,EQ,9-Mar-05,10,1,INE692G01013,10
XELPMOC,Xelpmoc Design And Tech Limited,EQ,4-Feb-19,10,1,INE01P501012,10
XPROINDIA,Xpro India Limited,EQ,27-Apr-04,10,1,INE445C01015,10
YAARII,Yaarii Digital Integrated Services Limited,EQ,18-Aug-11,2,1,INE126M01010,2
YESBANK,Yes Bank Limited,EQ,12-Jul-05,2,1,INE528G01035,2
YUKEN,Yuken India Limited,EQ,2-Sep-21,10,1,INE384C01016,10
ZEEL,Zee Entertainment Enterprises Limited,EQ,9-Sep-98,1,1,INE256A01028,1
ZEELEARN,Zee Learn Limited,EQ,20-Dec-10,1,1,INE565L01011,1
ZEEMEDIA,Zee Media Corporation Limited,BE,10-Jan-07,1,1,INE966H01019,1
ZENITHEXPO,Zenith Exports Limited,EQ,10-Jul-96,10,1,INE058B01018,10
ZENSARTECH,Zensar Technologies Limited,EQ,9-Jul-03,2,1,INE520A01027,2
ZENTEC,Zen Technologies Limited,EQ,30-Mar-15,1,1,INE251B01027,1
ZODIACLOTH,Zodiac Clothing Company Limited,EQ,27-Sep-95,10,1,INE206B01013,10
ZOMATO,Zomato Limited,EQ,23-Jul-21,1,1,INE758T01015,1
ZOTA,Zota Health Care LImited,EQ,19-Aug-19,10,1,INE358U01012,10
ZUARI,Zuari Agro Chemicals Limited,EQ,27-Nov-12,10,1,INE840M01016,10
ZUARIGLOB,Zuari Global Limited,EQ,12-Apr-95,10,1,INE217A01012,10
ZYDUSWELL,Zydus Wellness Limited,EQ,13-Nov-09,10,1,INE768C01010,10
